id,complaint_text,intended_urgency,intended_emotion,scenario,style,channel
128,@YourProvider I've never been prouder to have bad credit than I am right now. Signed up 18 months ago; decided to leave on 01/02/2026 and was told I'd pay a reasonable fee. Imagine my shock when an invoice for £320 (ACC-9903321) landed this morning for an 'early termination' — which was never disclosed during my sales call with James on 02/08/2024. So evidently your agent either forgot to mention a term or lied. Charming. Refund the erroneous charge or waive the fee. I'll be sharing this experience widely if you ladder up this nonsense.,Medium,High,Contract dispute / early termination fee,Passive-aggressive / sarcastic,social media
129,"Hello, I need immediate help. My direct debit didn’t process on 06/02/2026 and ACC-7310022 now shows a late-payment flag. I have paid by bank transfer (reference DD-06FEB) and have confirmation from my bank, but your system still shows an outstanding balance and I’ve been warned of service suspension. I have been polite and cooperative—please confirm receipt of my transfer and update my account today. My name is Sarah Miller and I'm available to provide the bank reference. Thank you.",Medium,High,Direct debit or payment processing error,Polite but firm,live chat
130,"@YourProvider This is ridiculous. My bill for January (ACC-7754410) is showing an unexplained £78.60 'network usage' charge on 31/01/2026 — I have a home plan with 200GB and I did not exceed it. I have checked call logs, data usage from my phone, and MyAccount which inconsistently reports usage windows. Timeline: 02/02/2026 called customer services, spoke to Oliver (call ref 88-271) who said billing would investigate; 05/02 an email promised a follow-up within 5 working days; today, 12/02, nothing. This unexpected fee pushes my monthly outgoings up nearly 30% this month and I cannot afford to keep paying for phantom usage. I demand a full breakdown of how that £78.60 was calculated, copies of the usage logs attributed to my account (by timestamp and IP where applicable), and either a full refund or an immediate credit while you investigate. If this is an error on your billing system, I expect compensation for the stress and the time I've wasted calling repeatedly. Fix it within three working days or I will escalate to Ofcom and the Citizens Advice consumer service. ACC-7754410, REF-20260212.",Medium,High,Billing overcharge / unexpected fees,Verbose and detailed,social media
131,"Dear Support,

I write to complain about continual poor coverage from your mobile network in the Torbay area (account ACC-6902219). Since 22/01/2026 we have experienced repeated drops and 3G-only speeds where 4G should be available; call quality is unusable during evenings. My family work irregular hours and rely on the connection for remote meetings and my son's school access. Timeline: 23/01 call to technical support (spoke to Priya, ticket TKT-10043); 26/01 visit from an engineer who reported 'local congestion' but no resolution; 02/02 another outage lasting four hours; 09/02 yet another five-hour degradation. Each incident has been logged under outage refs: OUT-2101, OUT-2102, OUT-2108. The pattern is intolerable and has continued for three weeks. I am asking for a detailed plan of remedial steps, precise timescales for permanent fixes to cell capacity, and a proportionate billing adjustment for the days we were unable to use the service. I expect an answer within five working days.

Yours sincerely,
Mark Reynolds
ACC-6902219",Medium,High,Network outage / poor coverage,Verbose and detailed,email
132,"@YourProvider Trying to cancel should not feel like attempting to disarm a bomb. I called on 02/02/2026 to cancel ACC-8110044; I was promised confirmation and a final bill. Instead I received an SMS on 09/02 saying 'your cancellation request is being processed' and then today an automated charge of £58.00. Super. Keep taking my money while your system 'processes' things slowly. Astonishing customer care. Cancel the service, refund the charge, and confirm in writing. I am fed up with the runaround.",Medium,High,Service cancellation difficulty,Passive-aggressive / sarcastic,social media
133,"Hello. My name is Daniel Foster (ACC-7049923). I have been advised that the planned broadband installation due on 10/02/2026 has been cancelled without explanation. I completed the pre-installation checks on 28/01/2026 and agreed the appointment for 10/02. The live chat rep this morning (call ID 44-019) confirmed there was 'an issue with the engineer schedule' and said they'd reschedule within 48 hours — but gave me no firm date. I need a guaranteed new install date in writing, confirmation that any additional charges will be waived for the delay, and assurance that the original installation fee will not be refunded until installation is complete. Please escalate to a manager. Thank you.",Medium,High,Broadband installation delay or failure,Formal professional,live chat
134,"To whom it may concern,

I refer to Order No. ORD-20260115 for broadband installation at 12 Lower Hill Road, Chelmsford (installation date originally 05/02/2026). The installation has not proceeded and I received no substantive explanation, only an automated message on 06/02/2026. Under the Consumer Contracts Regulations and the Consumer Rights Act 2015, I expect the services to be performed with reasonable care and skill and within the agreed time. You have failed to meet that expectation. Please provide a full written explanation for the delay, the revised installation date within seven days, and a credit for the period without service. If you do not respond within five working days I will consider further action, including referral to Ofcom and the Small Claims Court as appropriate.

Yours faithfully,
Claudia Bennett
REF-ORD-20260115
ACC-6037180",Medium,High,Service downgrade without consent,Legalistic / rights-aware,social media
135,"Hi, my direct debit on ACC-9912045 has been processed incorrectly and you've taken £125.00 on 08/02/2026 instead of the contracted £55.00. I have my bank statement to prove it. I have reminded you twice via chat (chat refs 77-882 and 77-984) and was told 'it's being escalated' — that was over a week ago. Under the Payment Services Regulations and my rights as a consumer, I expect an immediate reversal of the overpayment or a full refund to my account within three working days. Please confirm your intended actions now.",Medium,High,Broadband installation delay or failure,Legalistic / rights-aware,email
136,"@YourProvider I ordered an eSIM for my iPhone (SIM ID ICCID-8986001234567890123) on 03/02/2026. Activation failed on 04/02 and my number (+44 7700 900123) is still inactive. I have tried the activation steps on your website, chatted with support twice (spoke to Aisha, ticket 22-334) and followed her instructions, but the SIM shows 'no service' and I'm left with an expensive paperweight. I need this activated today or a clear timeframe for when I will have a working line. I'm out of patience and cannot be without my mobile for longer.",Medium,High,Direct debit or payment processing error,Legalistic / rights-aware,live chat
137,"Hey, I'm Tom. I signed up for a new line in December and was told my contract would end on 31/01/2026 if I used the 30-day exit clause. I tried to leave on 03/02 and was told I'd be hit with an early termination fee of £186 (ACC-8822201). That's not what I was told when I signed — agent Sophie even confirmed the 30-day option. I've called three times and spent hours on chat. Can someone please explain why I'm being charged and either cancel the fee or provide the recorded call where I supposedly agreed to it? I'm getting very fed up of being bounced around.",Medium,High,SIM card / eSIM activation problem,Polite but firm,social media
138,"Hello, my January bill shows an unexpected 'line administration' charge of £24.99 on ACC-6655020. I called on 04/02 and was told this was a one-off; two calls later (refs 3001, 3009) and an hour on hold, I'm still waiting for the promised refund. I am requesting a refund of £24.99 to my original payment method and written confirmation that this will not recur. I expect this corrected within 5 working days. Thanks, Rachel.",Medium,High,Contract dispute / early termination fee,Casual conversational,live chat
139,"Account: ACC-4477710
Service changed without consent on 07/02/2026. Current tariff shows 'Essential' plan when I have an existing 'Plus' contract. I did not agree to this downgrade. Please revert immediately to my original plan or provide a written rationale and my legal right to dispute this change. This form is brief but I expect an urgent correction.",Medium,High,Billing overcharge / unexpected fees,Polite but firm,live chat
140,"Oh good, another 'we've received your cancellation' auto-reply. I’ve been trying to cancel ACC-9001107 since 31/01/2026. Each time I get reassurance, they 'set up the cancellation' and then someone calls pitching retention deals and the account remains active and charged. I entered the cancellation form again on 08/02 and nothing. Delightful. If you can't cancel the account, refund the last two months' charges and send proof of closure. That is all.",Medium,High,Service downgrade without consent,Terse and minimal,online form
141,"Hi, I had an engineer booked for 11/02/2026 for broadband installation (Ref: INST-1126). The engineer attended the wrong property and left; I was at home all day. I was told by the dispatcher (name: Gary) that they'd rebook but they could not give a date. I signed up on 15/01/2026 and was given the 11/02 slot. Please explain how an engineer turned up at 14 Manor Crescent when the booking clearly states 14a Elm Street, provide a new installation appointment for this week, and compensate for lost time. Thank you.",Medium,High,Service cancellation difficulty,Passive-aggressive / sarcastic,online form
142,"@YourProvider I'm paying for 200Mbps and getting 10–15Mbps. Speed test results attached to my public complaint — from multiple devices and on different days (tests on 04/02/2026 and 10/02/2026: 12.3Mbps, 14.8Mbps). Account ACC-6613312. This is a professional-level service failure; my freelance work is being delayed, I have missed meetings, and deadlines are at risk. Please provide a technical audit, a schedule for fixing the throughput, and an interim rebate for the days of substandard service. I expect a substantive reply from an engineer within three working days.",Medium,High,Broadband installation delay or failure,Narrative / storytelling,live chat
143,"Account ACC-8174028
Speed tests performed 07/02/2026: 8.7Mbps down, expected 100Mbps. I have run tests from a wired ethernet connection and rebooted the router. I have contacted support twice (refs 7002 and 7018) and received only standard troubleshooting steps. Please escalate to a network engineer and provide a firm date for resolution. I need a credited refund for poor service and confirmation that this will not be ongoing.",Medium,High,Slow or unreliable internet speed,Formal professional,social media
144,"Contract No: CTR-20200403
I am disputing the early termination fee charged following my request to leave on 01/02/2026. At the point of sale (09/03/2020) I was told there would be no exit fee after 36 months; my contract clearly reached that milestone on 04/03/2024. The invoice of £240 sent on 05/02/2026 is therefore unjust. Please provide the contractual clause you are relying on, complete with page and paragraph. I require the fee to be rescinded within five working days or I will escalate to the Ombudsman. Signed, Jonathan Price.",Medium,High,Slow or unreliable internet speed,Polite but firm,online form
145,"Hi — I am deaf and rely on SMS and an easy-to-access text-based account for customer support. Since 02/02/2026 your webchat has been unavailable to me: the live chat widget fails the magnifier screen reader and forces me to use a phone call. I have explained this three times (spoke to Hitesh, Ellie) and been told 'we'll note it' with no reasonable adjustments offered. This is unacceptable discrimination under the Equality Act. Provide immediate confirmation of the accessibility measures you will implement, ensure my account (ACC-3391121) can be managed without voice calls, and offer compensation for the time wasted. I would prefer email or text support going forward.",Medium,High,Contract dispute / early termination fee,Formal professional,online form
146,"My area (Hemsworth, postcode WF9) has had rolling network outages every evening since 29/01/2026, sometimes lasting four to six hours. I have recorded each event: 30/01 outage 18:00–22:00 (REF OUT-307), 02/02 outage 19:30–23:00 (REF OUT-309), 08/02 intermittent service 17:45–21:30 (REF OUT-312). I am a small business owner and these outages are costing me clients and revenue. I have spoken to two duty managers (Lauren on 31/01 and Hassan on 09/02) who promised escalation but provided no concrete action. I need an engineer inspection, an explanation of the underlying cause (is this capacity, backhaul, or tower fault?), and a compensation credit for lost service. Please treat this as urgent; my business cannot absorb further hit to income.",Medium,High,Accessibility needs not met,Passive-aggressive / sarcastic,live chat
147,"This is unacceptable: my tariff was downgraded from 'Business Plus' to 'Business Basic' without consent on 05/02/2026 (ACC-5540027). I require immediate reinstatement to the contracted service level and a detailed account of how such a change was authorised. If you assert that I consented, please provide the signed confirmation or call recording. Until you reverse the downgrade I will treat this as a breach of contract and will pursue all remedies available, including notifying Ofcom.",Medium,High,Network outage / poor coverage,Verbose and detailed,live chat
148,"Hello, I want to make a formal complaint about mis-selling. On 12/01/2026 I signed up for a fibre package after a home sales visit by Mark Reed, who promised symmetric upload speeds for cloud backup and guaranteed no line rental increase for 12 months. The contract I received (CTR-20260112) contains no such guarantees and the product delivered is a standard asymmetric product with poor upload. I demand an immediate review of the sales recording, correction to supply the product as sold or cancellation without penalty, and a refund of any difference paid. Please escalate to a senior complaints manager now.",Medium,High,Service downgrade without consent,Formal professional,social media
149,"Dear Complaints Team,

I am writing because I have been charged an early termination fee of £198 (Invoice ET-20260209) despite having told your retention team on 01/02/2026 that I would be moving abroad and the agent confirming that ending the contract early would be 'handled as a one-off compassionate case'. The case handler was Rizwan Patel (call ref 54-771). This morning I received a demand for the full fee. That is dishonest and outrageous. I expect the fee to be rescinded immediately and for you to confirm in writing that my account (ACC-3034412) is closed without further charges. If you fail to comply I will forward this file, including call recordings and emails, to the Ombudsman and pursue all available remedies.

Yours,
Olivia Hart",Medium,High,Mis-selling / misleading sales practices,Formal professional,live chat
150,[GENERATION FAILED — re-run needed],Medium,High,Contract dispute / early termination fee,Passive-aggressive / sarcastic,email
151,"Hi team,

My account (ACC-7291834) was debited twice for the same bill on 02/02/2026: £245.00 taken on 02/02/2026 (REF-20260202A) and again on 03/02/2026 (REF-20260203B). I spoke to billing on 04/02/2026 and was told a refund would be issued within 5 working days; no refund has arrived and my current account has entered an unarranged overdraft. Please reverse REF-20260203B immediately and confirm by reply. I need this resolved today to prevent further bank charges.

Thanks,
Oliver Matthews",High,Low,Direct debit or payment processing error,Casual conversational,email
152,Account ACC-881209: upload speeds below 0.5Mbps since 06/02/2026. Need immediate escalation; remote work impossible. Logged fault 07/02 (REF-20260207). What is the next step?,High,Low,Slow or unreliable internet speed,Terse and minimal,live chat
153,"Agent: I require immediate reinstatement of my originally contracted service. You have downgraded my business line from 'Business Pro 200' to 'Business Basic 50' without my consent on 01/02/2026 (ACC-334455). This constitutes an unlawful variation under the contract terms dated 15/08/2023. I request confirmation of the unauthorised change, full reinstatement within 24 hours, and documentation of the reasons for the change. If not complied with, I will refer the matter to the Ombudsman and pursue contractual remedies.",High,Low,Service downgrade without consent,Legalistic / rights-aware,live chat
154,"Dear Data Protection Team,

I am reporting a likely data breach affecting my account (ACC-540022). On 05/02/2026 I received an SMS from an unknown number containing partial details of my billing address and the last four digits of my credit card. I have not shared these details externally. Please confirm whether any unauthorised access to my account occurred, what specific data were exposed, and the remedial steps you are taking. I request a formal written breach notification under ICO guidance and evidence of mitigation within 48 hours. REF-20260205.

Kind regards,
S. Patel",High,Low,Data breach / privacy concern,Polite but firm,email
155,"Hello,

Account ACC-612904. I have been trying to activate my eSIM since 27/01/2026. Steps taken: ordered eSIM on 27/01 (CONF-ESIM-271), received QR on 28/01, scanned on iPhone 12 running iOS 17.2. Activation fails with network error. I spoke with two agents (Tom on 29/01 and Priya on 31/01). Priya escalated to Tier 2 and said the profile would push within 24 hours; it has not. I also attempted manual MNC/MCC entry as advised and received error code 1013. The active SIM on the handset shows 'No Service' and I cannot receive 999 calls from this device; the eSIM is required because the physical SIM is reserved for travel. My account number is ACC-612904 and the internal ticket is REF-20260131-ESIM. Please advise exact diagnostic steps I should perform, confirm whether there is a network-side block on my IMSI, and escalate to engineering. I need activation completed within the next 8 hours so I can access emergency contact capabilities.

Regards,
Daniel Harwood",High,Low,SIM card / eSIM activation problem,Verbose and detailed,live chat
156,"@YourISP I am writing on behalf of my mother, Mrs Agnes Lowe (ACC-001782). She is a registered vulnerable customer and was left without a working landline and broadband from 05/02/2026 to 08/02/2026. During that period she could not reach her GP or carers. I raised the issue by DM on 06/02 and was advised service would be restored; it was not. Please urgently contact me on 07700 900123 to confirm reinstatement and outline a remedial plan. This is a safeguarding matter and requires immediate action.",High,Low,Vulnerable customer mistreatment,Formal professional,social media
157,"Account number: ACC-993311
Date of order: 12/01/2026
Estimated install date given: 22/01/2026
Current status: No engineer visit; order now delayed 19 days.

I require the installation to be completed by 12/02/2026. The property relies on broadband for a medical monitoring device. Please confirm a revised appointment within 24 hours and provide a written reason for the delay. REF: ORD-120126-BB.",High,Low,Broadband installation delay or failure,Polite but firm,online form
158,"Hello,

Since 02/02/2026 the mobile network in my postcode (OX2 6XY) has been intermittent and at times completely unavailable. My account (ACC-445566) has registered repeated dropped calls and SMS non-delivery with timestamps between 02/02 and 06/02. I called technical support on 03/02 (case REF-20260203-NET) and was informed of an ongoing capacity issue; no ETA was provided. This outage is affecting my ability to conduct essential business and to contact clients. Please provide a full incident report, the expected restoration time, and interim measures such as temporary call routing or a loan SIM from another network. I require confirmation of these actions within 12 hours.

Kind regards,
Eleanor Grant",High,Low,Network outage / poor coverage,Verbose and detailed,email
159,"I am the account holder (ACC-778900). On 30/01/2026 my eSIM activation attempt was rejected and my service was removed without notice on 01/02/2026. You have a statutory duty under the Consumer Rights Act 2015 to provide services as contracted. I require immediate restoration of the prior mobile service and a written explanation of the grounds for removal, including any evidence relied upon. Please treat this as a formal request for reinstatement and documentation. If you do not comply within 48 hours I will seek remedies including raising a formal complaint with CISAS.",High,Low,SIM card / eSIM activation problem,Legalistic / rights-aware,live chat
160,@YourISP My bank reports a failed direct debit on 30/01/26 and you still took £198.50 on 02/02/26 (REF-20260202). Please reverse the duplicate payment and confirm by DM today.,High,Low,Direct debit or payment processing error,Terse and minimal,social media
161,"@YourISP Ordered eSIM on 28/01 (ACC-661122). QR scanned, activation fails. SIM shows 'No Service' and I cannot make calls. Please advise next steps. Thanks.",High,Low,SIM card / eSIM activation problem,Casual conversational,social media
162,"@YourISP I have requested account cancellation three times (calls on 04/01, 18/01, 02/02) and no confirmation has been sent. Please process CXL for ACC-443311 today and confirm with CXL-REF-20260202.",High,Low,Service cancellation difficulty,Terse and minimal,social media
163,"Dear Support,

I am writing regarding the failed number port of my mobile number 07400 112233 from Provider X to your network. Port request submitted 20/01/2026 (PAC received 21/01/2026). Window for transfer was 25/01/2026 — attempt failed at 08:45 with error code NP-ERR-73. I have contacted customer support on 26/01 (REF-20260126), 29/01 (REF-20260129) and again on 02/02 (ESC-PORT-02). Each time I received a different timeframe for resolution. The failed port has left me without my business number for 10 days, causing loss of client calls and confirmed financial impact of approximately £1,150 in missed invoices. Please provide:

- Full log of port attempts and exact error messages
- Clear plan and exact date/time for successful porting
- Compensation policy and proposed payment for demonstrable losses

Account: ACC-225544. I expect an engineering-level response within 24 hours.

Regards,
Marina Reyes",High,Low,Porting / number transfer issues,Verbose and detailed,email
164,@YourISP My engineer did not turn up for the installation scheduled 22/01 (Order ORD-220126). No reschedule provided and I still have no broadband. This accommodation depends on internet for home schooling and a medical alarm. Please advise new appointment and compensation options. ACC-332211.,High,Low,Broadband installation delay or failure,Verbose and detailed,social media
165,"Good afternoon,

Account ACC-447788. My direct debit was presented on 01/02/2026 for £310.00 (DDID: DD-310216) but the payment failed due to an error on your side flagged by my bank. I contacted your billing team on 01/02 at 10:15 and was told the issue was resolved; however, the payment was presented again on 03/02 without notification and has incurred an unpaid charge of £35.00 from my bank. Please cancel the second presentation, refund any fees, and confirm the corrected payment schedule. I need confirmation within 24 hours to prevent further bank action.

Regards,
Dr Catherine Long",High,Low,Direct debit or payment processing error,Formal professional,live chat
166,"Hi,

Order ORD-781234 (install promised 15/01/2026) still not completed. I was told on 11/01 by agent 'Laura' that an engineer would attend by 15/01; appointment missed and no follow-up. I need the connection for a home business and to support a dependent who uses online therapy. Please provide a reassigned appointment within 48 hours and written reasons for the delay. ACC-556677.

Thanks,
Mark",High,Low,Broadband installation delay or failure,Casual conversational,email
167,"I was downgraded from 'Unlimited Family 100' to 'Pay As You Go' without notice on 30/01/2026. The change removed inclusive international minutes and caused two premium-rate charges totaling £120. I called support and was told the change was a system update; no consent or contractual variation was provided. Timeline: contract start 01/07/2023; downgrade observed 30/01/2026; call with agent 'James' on 31/01/2026 (REF-20260131). Please publish a full chronology explaining why consent was not obtained, restore the original tariff immediately, and refund the premium charges. I will escalate to the Ombudsman if not resolved within 48 hours.",High,Low,Service downgrade without consent,Narrative / storytelling,social media
168,"Dear Network Team,

Account ACC-998877. Since 01/02/2026 there has been persistent loss of signal and regular dropouts across the local cell (BSID 2103). The outage has prevented me from placing urgent care appointments and contacting my GP. I reported this on 02/02 (REF-20260202-NET) and spoke to the duty engineer on 03/02 who confirmed a fault but provided no restoration ETA. Please supply a technical incident report, expected recovery time, and immediate interim measures (call divert, roaming enablement). I require confirmation within 12 hours.

Yours sincerely,
Hannah Cole",High,Low,Network outage / poor coverage,Polite but firm,email
169,"@YourISP You sold me 'FastHome 500' with a guaranteed speed of 500Mbps on 12/09/2025. Your sales agent stated 'average speeds above 300Mbps during peak hours'. The installation engineer on 15/09/2025 confirmed the cabinet supports the tier. Since 28/01/2026 my line has been limited to 20Mbps with no explanation. Under the Consumer Protection from Unfair Trading Regulations this is misleading. Please provide corrective action, a written justification for the speed reduction, and compensation. Account ACC-191919.",High,Low,Mis-selling / misleading sales practices,Legalistic / rights-aware,social media
170,"Agent: my registered access needs were not recorded. I have a hearing impairment and requested SMS-only notifications when I signed up on 04/10/2025 (ACC-554433). Since 29/01/2026 important outage notifications have been sent as automated voice calls which I cannot receive; this prevented me from arranging transport for essential medical treatment on 30/01/2026. Under the Equality Act 2010 you must make reasonable adjustments. Please update my account to SMS-only alerts immediately, confirm the change in writing, and explain why the request was ignored previously. REF: ACCESS-20260130.",High,Low,Accessibility needs not met,Legalistic / rights-aware,live chat
171,"Hello,

I have attempted to cancel my broadband package three times by phone (calls on 05/01, 18/01, 02/02) and via the online portal (01/02). Each time I have been told cancellation is scheduled, but no final confirmation email or CXL reference has been received. Account ACC-708090. Please confirm cancellation, provide final bill calculation including any early termination charges with legal basis and date-stamped confirmation, and refund any post-cancellation charges if applied. I require a written reply within 48 hours.

Regards,
S. Ahmed",High,Low,Service cancellation difficulty,Verbose and detailed,email
172,"Device model: ZX-12
Purchase date: 20/10/2025
Fault: screen intermittently black and touch unresponsive since 28/01/2026
RMA requested: No
Warranty: 24 months

Please advise repair or replacement under warranty and provide RMA number. ACC-340770.",High,Low,Device / handset fault or warranty dispute,Terse and minimal,online form
173,"Hello,

On 02/02/2026 my account (ACC-660099) was moved from 'Home Plus 200' to 'Home Essential 40' without prior notice. The effective change reduced my guaranteed upload and removed static IP. I did not agree to this change. Please reinstate my original package immediately and provide a written explanation of contractual authority for the alteration. REF-20260202-DG.

Thanks,
Laura H.",High,Low,Service downgrade without consent,Polite but firm,live chat
174,"Account: ACC-221144
Billing period: 01/01/2026 - 31/01/2026
Charge in dispute: £79.99 listed as 'priority support fee'.

Yes, I can see it. No, I did not request it. Kindly remove the charge and refund £79.99. I would be thrilled to pay for something I never authorised, but since you charged it in error, please reverse it today. REF-BILL-20260131.",High,Low,Billing overcharge / unexpected fees,Passive-aggressive / sarcastic,online form
175,"@YourISP I was promised a retention offer when I told retention I would leave (call 02/02, agent 'Maya' ACC-887700). No offer recorded and my bill increased instead. Please confirm the offer you gave and apply it retroactively or provide a clear reason why the retention offer was not honoured.",High,Low,Customer loyalty not rewarded / retention offer dispute,Terse and minimal,social media
176,"Hello — Account ACC-7291834. I submitted this online form because my mobile signal in my flat in Bolton (postcode BL3 2RT) has been non-existent since 07/02/2026. I reported it via the app on 09/02/2026 (REF-20260209-81) and was told a local mast fault would be fixed within 48 hours. It is now 17/02/2026 and I still have zero service. This is high urgency: I care for my elderly father who is housebound and needs me to be contactable for medical appointments; inability to receive calls yesterday led to a missed ambulance appointment. Please escalate immediately, provide a clear ETA and a temporary solution (replacement SIM, roaming or alternative provision) and confirm compensation for the outage. I expect an update by 18/02/2026. Thank you, Claire H.",High,Medium,Network outage / poor coverage,Polite but firm,online form
177,"Hi — REF: BILL-04126-2026. I’ve been on hold for 25 minutes and this is the third time today I’ve had to start a chat about the same issue. On 03/02/2026 you charged me £132.45 for data overuse on tariff “Essential Plus” despite my plan including 60GB. I have screenshots from the MyAccount app showing usage at 42.1GB on 02/02/2026 and an email from customer services (agent Mike, 06/02/2026) saying the overage charge would be reversed. That reversal never happened and now I have an unauthorised £132.45 direct debit scheduled for 20/02/2026 (DD REF DD-20260220-9). I have already called twice (08/02 and 11/02) and chatted earlier today — nobody has resolved this. I need the incorrect charge removed, confirmation that the DD will be cancelled immediately, a formal apology and confirmation of what you will do to stop this recurring. If you can’t fix this now escalate to billing supervisor Saira and give me a callback today. I’m fed up of repeating myself.",High,Medium,Billing overcharge / unexpected fees,Verbose and detailed,live chat
178,"Dear Billing Team,

Well done — you have taken £89.99 from my account on 12/02/2026 for a service I cancelled on 29/01/2026. My direct debit details are on file under ACC-554009. I know you like charging first and asking questions later, but I'd appreciate the courtesy of returning my money. I cancelled the contract with agent Tom (call recorded at 10:12, REF-20260129-T), and I have the email confirmation. Please reverse this payment immediately and confirm in writing that you will not attempt to take further sums. If this cannot be resolved within 48 hours I will be arranging a chargeback with my bank and make a formal complaint. Thanks, Elaine Porter",High,Medium,Direct debit or payment processing error,Passive-aggressive / sarcastic,email
179,"@ProviderSupport I have repeatedly reported unresolved faults (REFs: 20250105-A, 20250612-C, 20260122-H) and am informing you formally that continued failure to remedy essential service outages and incorrect billing may constitute an unfair commercial practice under the Consumer Protection from Unfair Trading Regulations 2008. I am a vulnerable customer (registered disabled) and have been without reliable broadband and landline since 01/02/2026. I have documented every contact: call logs, emails, and chat transcripts, all ignored or closed without meaningful action. If you do not provide a corrective plan within 7 days I will escalate to Ofcom and seek compensation for loss of earnings and distress. This is my final notice.",High,Medium,Multiple unresolved issues over time,Legalistic / rights-aware,social media
180,@ProviderSupport Mis-sold a ‘Business Unlimited’ package in January. Not what I signed up for. Unacceptable.,High,Medium,Mis-selling / misleading sales practices,Terse and minimal,social media
181,Agent said ‘unlimited’ but the plan limits peak tethering and throttles to 128kbps after 20GB — clever. Thanks for the surprise. REF-SALE-110126. Can someone explain why your salesperson (Nina) told me there were no caps? My productivity depends on this and I’m not amused. Sort it now.,High,Medium,Mis-selling / misleading sales practices,Passive-aggressive / sarcastic,live chat
182,"To whom it may concern,

Account: ACC-992200. REF: OUT-20260201.

I have contacted you on 12 separate occasions since 01/02/2026 regarding repeated outages and incorrect billing. Your records will show calls on 04/02, 07/02, 10/02 and emails on 05/02 and 11/02. None of the fault reports have been resolved. Please escalate and provide a single point of contact and a timeline for resolution within 5 working days. If unresolved I will pursue statutory complaint channels.

Regards,
Mark Ellis",High,Medium,Multiple unresolved issues over time,Terse and minimal,email
183,"@provider I want to cancel my line. Been trying all week — every number leads to a queue or a different department. Can someone just confirm how I cancel and get a final bill? Account ACC-334411. Thanks, Jess",High,Medium,Service cancellation difficulty,Casual conversational,social media
184,"Device model: Galaxy A52S (IMEI 351234567890123). Purchase date 14/11/2025 on handset finance plan HFN-55678. Fault reported 05/01/2026 (RMA REF 20260105-421). The screen has developed a vertical green band and the touchscreen intermittently fails; the phone is unusable for work calls. I returned the handset to your repair depot on 12/01/2026 and was told a replacement would be issued within 10 working days. It is now 17/02/2026 and I have had no update, no loan phone and the recorded contacts (calls to support on 20/01, 27/01, 04/02) show promises that were not kept. I am out of contract for the SIM and cannot afford to pay for a handset I cannot use. Please confirm today: either a same-spec replacement under warranty, a full refund of outstanding handset finance, and confirmation of any temporary handset provision while this is resolved. I expect acknowledgement within 24 hours and an engineer contact or dispatch number.

Customer: Arjun Patel
ACC-774201",High,Medium,Device / handset fault or warranty dispute,Verbose and detailed,online form
185,"@provider So glad to see my email, bank details and phone number casually listed in a file leak. Is this how you “protect” customers? REF-PRIV-20260215. Lovely. I expect immediate confirmation of what data was exposed, exactly which third parties accessed it, and what you are doing to protect customers from fraud as a result. Please stop sending us scripts and tell me, in plain English, whether my identity is at risk. I expect a proper incident response update within 24 hours. #databreach",High,Medium,Data breach / privacy concern,Passive-aggressive / sarcastic,social media
186,"Chat: Hi, I’m contacting you in this chat because the usual channels aren’t working. Account: ACC-667788. I have raised fault REF-20260130 and complained twice via email (12/02 & 14/02) — both replies were generic and unhelpful. I am a small business owner and your ongoing failures to provide the broadband service I pay for are causing material losses. Under the Consumer Rights Act I require a full written remedy plan and compensation calculation. Please escalate to your complaints manager now and confirm an independent complaint review within 10 working days.",High,Medium,Multiple unresolved issues over time,Legalistic / rights-aware,live chat
187,"@ProviderSupport I was spoken to rudely by your call centre advisor 'Liam' on 10/02/2026 at 15:45 regarding a billing error (REF BILL-20260210-A). He repeatedly cut me off and refused to provide his name badge number when asked. I am disappointed and expect an apology and training review. As a disabled customer I rely on patient, clear communication — this treatment was unacceptable. Please investigate and update me by DM. — Sarah M.",High,Medium,Rude or unhelpful customer service,Polite but firm,social media
188,@ProviderLegal I was sold a “HomeMax 500” package on 15/01/2026 by your agent who stated “guaranteed speeds”. The service delivered is consistently below 10Mbps. This appears to be a misleading commercial practice within the meaning of the Consumer Protection Regulations. REF-SALE-150126. I request contract rescission and full refund of installation fees within 14 days or I will lodge an enforcement complaint with Trading Standards and Ofcom. Please respond publicly and DM to discuss settlement.,High,Medium,Mis-selling / misleading sales practices,Legalistic / rights-aware,social media
189,"Dear Payments Team,

Account: ACC-881233. Reference: DD-ERR-20260212.

On 12/02/2026 my bank informed me an attempted direct debit of £240.00 was submitted twice on the same day, resulting in an unpaid charge and bank fees of £35.00. My normal monthly payment is £120.00. I have already contacted your billing line on 13/02 and was promised a refund for the extra attempt; this refund has not appeared. Please reverse the duplicate transaction, reimburse my bank fees, and confirm in writing that future direct debits will be processed correctly from my nominated account (sort code 40-12-34, acct ****1234). If this is not resolved within 48 hours I will pursue a formal chargeback and file a complaint with the Financial Ombudsman.

Yours sincerely,
Hannah Reeves",High,Medium,Direct debit or payment processing error,Formal professional,email
