id,complaint_text,intended_urgency,intended_emotion,scenario,style,profile,history
2106,"I would like to notify you that I am experiencing continual slow broadband speeds, as per my prior discussion on September 9. This is the first time I have raised this issue, and I would like a resolution as it is impacting my daily activities significantly.",Medium,Low,Slow Broadband Speeds,Legalistic / rights-aware,Vulnerable customer with disability or health condition,First contact — raising the issue for the first time
2107,"My service has been affected by the recent 3G network shutdown, which I first reported on September 11. I have exhausted all normal channels of communication and would like a final avenue for escalation regarding this matter. A resolution is required as my service is severely limited.",Medium,Low,3G Shutdown Impact,Polite but firm,Student on a tight budget,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
2108,"Following my cancellation request on August 15, I am still receiving monthly billing statements. I had initially raised this on September 10 and have no updates since then. An explanation for this continued billing would be necessary as I find it quite concerning.",Medium,Low,Billing After Cancellation,Terse and minimal,Recently switched from another provider,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
2109,"I recently addressed the issue of not receiving progress updates on my service request submitted on September 4. This is my first follow-up, and clarity on the status would be appreciated to understand what steps are being taken.",Medium,Low,Lack of Progress Updates,Polite but firm,"Elderly customer, not confident with technology",First contact — raising the issue for the first time
2110,"I find it necessary to follow up regarding the promised fixes to my service issues. After an initial contact on September 3, I was assured that my connectivity problems would be resolved promptly. However, as of now, there has been no progress, and I would like to speak with a manager for further assistance.",Medium,Low,Unfulfilled Fix Promises,Narrative / storytelling,Recently switched from another provider,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
2111,"I am writing to report a lack of progress updates regarding my query from the 12th of October. I raised this issue initially during a call and was informed by your team that I would be contacted regarding the resolution, but to date, I have received no follow-up communication. Given my limited experience with technology, it would be beneficial to receive a clear and concise explanation of the situation and expected next steps.",Medium,Low,Lack of Progress Updates,Verbose and detailed,"Elderly customer, not confident with technology",Second attempt — raised once before with no resolution
2112,"As a loyal customer for over ten years, I must address the handling of my previous complaints regarding intermittent service disruptions. Despite contacting your support team three times over the last two weeks, each interaction has left me with unresolved questions and no tangible solutions provided. I would appreciate a formal review of my case and a detailed response outlining the steps your team will take to rectify this situation.",Medium,Low,Poor Complaint Handling,Formal professional,Long-term loyal customer (10+ years),Repeat complainer — has contacted 3-5 times over weeks
2113,"I've reached out multiple times over the past month about the lack of updates related to my service issues. Each call I’ve made has indicated that an update would be forthcoming, yet I find myself waiting with no information. It would greatly assist me to understand why the resolution timeline has extended without communication.",Medium,Low,Lack of Progress Updates,Casual conversational,Recently switched from another provider,Repeat complainer — has contacted 3-5 times over weeks
2114,"This is my second attempt to address unfulfilled promises regarding the fix for my faulty internet connection that was supposed to be resolved last week. I was assured in my previous call of a resolution timeframe, but it appears no action has been taken. A concrete update regarding the status of this fix would be appreciated, as the current situation is less than satisfactory.",Medium,Low,Unfulfilled Fix Promises,Terse and minimal,Vulnerable customer with disability or health condition,Second attempt — raised once before with no resolution
2115,"I am writing to request assistance with the cancellation of my service, which has proven more complicated than expected. After our last interaction on the 10th of October, where I was told that my cancellation request would be processed, I have yet to receive a confirmation. I would like to expedite this process, as I need clarity on my account status soon.",Medium,Low,Difficulty Cancelling Service,Formal professional,"Young professional, tech-savvy, impatient",Second attempt — raised once before with no resolution
2116,"I noticed an auto-renewal on my recent billing statement dated from the 15th of October, which I did not authorize. This charge of £30.00 has put an unexpected strain on my budget as a student. I am formally requesting clarification on this matter and expecting a correction to my account.",Medium,Low,Auto-Renewal Without Consent,Formal professional,Student on a tight budget,First contact — raising the issue for the first time
2117,"I need to formally address additional fees that have appeared on my last two bills, which I believe should not have been charged. Over the last month, I contacted customer service three times, yet no satisfactory explanation has been provided. I should not be paying for services that were not explicitly agreed upon at the point of sale.",Medium,Low,Hidden Fees & Charges,Legalistic / rights-aware,Student on a tight budget,Repeat complainer — has contacted 3-5 times over weeks
2118,"I am reporting ongoing issues with my handset, which has resulted in significant communication disruptions. After being a loyal customer for more than a decade, I expected a straightforward resolution following my prior communications. I would like to escalate this matter due to the unresolved nature of the faults and would appreciate a direct conversation with a customer service manager.",Medium,Low,Faulty Hardware / Handset Issues,Narrative / storytelling,Long-term loyal customer (10+ years),"Escalation — has exhausted normal channels, requesting manager/ombudsman"
2119,"Recently, I was informed about a price increase effective from the 1st of November that will be applied to my current contract, which I believe does not comply with our original agreement. This is my first communication regarding this issue. I request that you provide a thorough justification for this increase and any potential options available to me.",Medium,Low,Mid-Contract Price Increase,Formal professional,Recently switched from another provider,First contact — raising the issue for the first time
2120,"This follows my earlier contact expressing concern regarding the price adjustment to my plan, which appears to have been implemented without prior notice. Given that I raised this issue for the first time on the 10th of October, I would appreciate a prompt response to clarify the matter as I assess my financial commitments.",Medium,Low,Difficulty Cancelling Service,Casual conversational,Student on a tight budget,Second attempt — raised once before with no resolution
2121,"I am reaching out concerning my recent experience with incorrect billing, which has resulted in an overcharge on my account. I detailed these discrepancies during a phone conversation on the 18th of October. Despite your representative assuring me that this would be corrected, the issue remains unresolved, and I am requesting immediate intervention at a management level to address this error.",Medium,Low,Mid-Contract Price Increase,Narrative / storytelling,Student on a tight budget,Second attempt — raised once before with no resolution
2122,"This is my second formal complaint regarding the lack of resolution about my service outage reported on the 12th of October. I was assured during my first attempt to resolve the issue that corrective actions would take place within 48 hours; however, I have continued to experience service interruptions. I require an update on the status of this situation.",Medium,Low,Overcharging & Incorrect Billing,Legalistic / rights-aware,Vulnerable customer with disability or health condition,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
2123,"I am writing to seek clarification on an auto-renewal payment deducted from my account without my consent. This charge of £25 was taken on the 16th of October, and I did not receive any prior notification. I trust you will provide a formal response to this inquiry and rectify any unintended consequences for my financial planning.",Medium,Low,Unfulfilled Fix Promises,Polite but firm,Long-term loyal customer (10+ years),Second attempt — raised once before with no resolution
2124,It has come to my attention that my recent bill shows unexpected charges that were not disclosed at the time of my upgrade in September. I reached out previously on the 5th of October regarding this issue and received no response. I expect a detailed breakdown of these charges and an explanation for their appearance on my account.,Medium,Low,Auto-Renewal Without Consent,Polite but firm,"Elderly customer, not confident with technology","Escalation — has exhausted normal channels, requesting manager/ombudsman"
2125,I wish to formally address significant slowdowns with my internet connection during peak hours. This matter has persisted despite communications I made on the 12th and again on the 15th of October. I would appreciate a technical assessment of my service and a timeline for resolution.,Medium,Low,Slow Broadband Speeds,Verbose and detailed,"Young professional, tech-savvy, impatient",Second attempt — raised once before with no resolution
2126,I am writing to report a lack of updates regarding a recent service outage that has been affecting my family's mobile plan since October 10. This is my first time contacting you about this matter. Please provide an update as soon as possible.,Medium,Low,Poor Complaint Handling,Casual conversational,Parent managing a family plan,First contact — raising the issue for the first time
2127,"I recently switched to your service on October 5, but I have since received a bill including charges from my previous provider. This is confusing and requires clarification. This is my first attempt to resolve this discrepancy.",Medium,Low,Billing After Cancellation,Casual conversational,Recently switched from another provider,First contact — raising the issue for the first time
2128,"On September 20, I was informed of an increase in my monthly fee despite being in a contract that did not stipulate such changes. I have contacted customer service several times without satisfactory responses. I would like to escalate this matter to a manager or the ombudsman for a resolution.",Medium,Low,Mid-Contract Price Increase,Narrative / storytelling,"Young professional, tech-savvy, impatient","Escalation — has exhausted normal channels, requesting manager/ombudsman"
2129,"As a small business owner, I've been experiencing delays regarding the resolution of a connectivity issue. I first raised this matter on October 1 and again on October 8, but I have not received any substantial updates. I require clear communication on when I can expect resolution.",Medium,Low,Lack of Progress Updates,Narrative / storytelling,Small business owner relying on service for livelihood,Second attempt — raised once before with no resolution
2130,"I am encountering ongoing issues with my handset that I purchased on September 15. I have previously contacted customer support on multiple occasions, but I have not yet received a refund or replacement. Please advise on the next steps to resolve this issue.",Medium,Low,Faulty Hardware / Handset Issues,Polite but firm,"Young professional, tech-savvy, impatient","Escalation — has exhausted normal channels, requesting manager/ombudsman"
2131,"This is my first contact regarding your lack of updates on my service request regarding connectivity issues. I reported this on October 10, and there has been no communication since then. A timely response would be appreciated.",Medium,Low,Lack of Progress Updates,Terse and minimal,"Elderly customer, not confident with technology",First contact — raising the issue for the first time
2132,I would like to follow up on multiple communications regarding a loyalty penalty applied to my account. I have reached out about this issue three times since September 1 and would like this matter resolved promptly.,Medium,Low,Loyalty Penalty,Casual conversational,"Young professional, tech-savvy, impatient",Repeat complainer — has contacted 3-5 times over weeks
2133,I am having difficulty cancelling my service as I have followed the cancellation protocols but it has not progressed. This is my second attempt to resolve this issue. I would like to escalate this to a manager or relevant department.,Medium,Low,Difficulty Cancelling Service,Legalistic / rights-aware,"Elderly customer, not confident with technology","Escalation — has exhausted normal channels, requesting manager/ombudsman"
2134,I have received a bill with charges I believe are incorrect for services that should not be billed. I switched from another provider on October 1 and am raising this as my first contact for clarification.,Medium,Low,Overcharging & Incorrect Billing,Legalistic / rights-aware,Recently switched from another provider,First contact — raising the issue for the first time
2135,I am reporting a lack of updates regarding ongoing issues with my service that I have previously raised on October 3 and October 10. This is my second attempt to gain clarity on the situation. Please provide status updates.,Medium,Low,Lack of Progress Updates,Casual conversational,Small business owner relying on service for livelihood,Repeat complainer — has contacted 3-5 times over weeks
2136,"I am requesting clarification regarding hidden charges that have appeared on my business account. This is my second attempt to get information after my initial contact on October 5, and I am still awaiting a proper explanation.",Medium,Low,Lack of Progress Updates,Casual conversational,Vulnerable customer with disability or health condition,Repeat complainer — has contacted 3-5 times over weeks
2137,I would like to address issues surrounding a loyalty penalty that has affected my recent bill. This is my first attempt to discuss this matter and seek an explanation as I wish to avoid unnecessary charges.,Medium,Low,Poor Complaint Handling,Verbose and detailed,Recently switched from another provider,Second attempt — raised once before with no resolution
2138,"I have encountered issues with my account regarding updates on my recent service request. I am a new customer since October 1, but this is my second contact regarding the lack of clarity on the situation.",Medium,Low,Hidden Fees & Charges,Terse and minimal,Small business owner relying on service for livelihood,Second attempt — raised once before with no resolution
2139,I would like to draw your attention to unexpected fees that have appeared on my latest bill. I raised this to your team on October 8 and am seeking resolution or explanation for these charges.,Medium,Low,Loyalty Penalty,Polite but firm,Recently switched from another provider,First contact — raising the issue for the first time
2140,I seek clarification on the lack of progress regarding my service request. I am a student on a tight budget and have contacted customer support several times since October 1 without receiving any feedback.,Medium,Low,Lack of Progress Updates,Terse and minimal,Student on a tight budget,Repeat complainer — has contacted 3-5 times over weeks
2141,"On the 15th of October, I was informed that a technician would visit my premises on the 20th to resolve the connectivity issue I am experiencing. This communication was through your customer support after I opened a ticket for this problem. However, the technician did not arrive, and there has been no follow-up. This situation is now affecting my ability to work from home effectively. I request an immediate update regarding the technician's rescheduling.",Medium,Low,Unfulfilled Fix Promises,Verbose and detailed,"Young professional, tech-savvy, impatient",First contact — raising the issue for the first time
2142,"I noticed an unexpected charge of £50 on my bill dated 1st November, which is concerning as I was assured during my last call on 28th October that there would not be any additional costs. I raised this issue in my initial inquiry, yet the matter remains unresolved. Kindly clarify the reason behind this charge and provide a correction if necessary.",Medium,Low,Overcharging & Incorrect Billing,Narrative / storytelling,"Young professional, tech-savvy, impatient",Second attempt — raised once before with no resolution
2143,"Having switched to your service on 1st September, I was surprised to find several discrepancies in my first bill on 1st October. I contacted customer service on the 5th of October to address this but received no satisfactory clarification. The bill included charges for services I did not request. Please look into this matter and rectify the bill at your earliest convenience.",Medium,Low,Overcharging & Incorrect Billing,Verbose and detailed,Recently switched from another provider,First contact — raising the issue for the first time
2144,"I would like to address the automatic renewal that took place without my explicit consent on 1st November. Despite having contacted customer service on the 10th of October to express my intent not to renew, the renewal was processed nonetheless. I am requesting a review of this situation and a managerial follow-up to discuss how we can resolve this issue amicably.",Medium,Low,Auto-Renewal Without Consent,Polite but firm,Parent managing a family plan,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
2145,"I have contacted support regarding my service issues multiple times over the past month, with my last conversation on 8th October. I spoke with a representative who promised to escalate the matter, yet there has been no follow-up and my service remains problematic. I rely heavily on my landline for communication, and I would appreciate timely assistance this time.",Medium,Low,Unfulfilled Fix Promises,Casual conversational,"Elderly customer, not confident with technology",Repeat complainer — has contacted 3-5 times over weeks
2146,"I noticed a series of hidden charges on my bill dated 1st November that were not made clear when I signed up on 10th October. Upon raising this issue on the 5th of November, the representative could not provide clarity or resolution. I request a detailed breakdown of all charges and a rectification of the billing inaccuracies.",Medium,Low,Hidden Fees & Charges,Verbose and detailed,Vulnerable customer with disability or health condition,Second attempt — raised once before with no resolution
2147,I have been a customer for several years but have recently been informed about a substantial increase in my monthly fee without justification. I attempted to discuss this during a call on 15th October but did not receive a satisfactory explanation. I would like this matter revisited as I believe long-standing customers should not be penalized at renewal.,Medium,Low,Loyalty Penalty,Verbose and detailed,"Young professional, tech-savvy, impatient",Second attempt — raised once before with no resolution
2148,"During my last call on 12th October, I was informed that my call would be escalated due to long wait times for support assistance. However, I find this escalation has not yielded any improvement in service. I have now spent approximately two hours on the phone over the last week with little progress. I would like an update on how my call handling can be improved.",Medium,Low,Long Call-Waiting Times,Verbose and detailed,Long-term loyal customer (10+ years),Second attempt — raised once before with no resolution
2149,"I recently experienced issues with the handset I purchased on 15th September. After several attempts to troubleshoot, on 10th October, a representative suggested a technical fault. I am formally requesting a replacement unit or a repair as my current device fails to perform essential functions and impacts my daily usage.",Medium,Low,Faulty Hardware / Handset Issues,Formal professional,Recently switched from another provider,First contact — raising the issue for the first time
2150,"I have been experiencing slow broadband speeds for nearly a month. I have already reached out on multiple occasions, with my most recent inquiry on 7th October. Each time, I was assured that the issue would be addressed, yet there has been no noticeable improvement. I would like a clear timeline for the resolution of this issue as it affects my telecommuting.",Medium,Low,Slow Broadband Speeds,Polite but firm,Long-term loyal customer (10+ years),Repeat complainer — has contacted 3-5 times over weeks
2151,"On 20th September, I found that my service was automatically renewed and charged to my account without my prior agreement. Despite contacting customer service on that same day to flag the issue, there has been no response or resolution. I request a reversal of the renewal and wish to ensure future correspondence is directed to my explicit consent.",Medium,Low,Auto-Renewal Without Consent,Verbose and detailed,Small business owner relying on service for livelihood,Repeat complainer — has contacted 3-5 times over weeks
2152,"The network coverage in my area has diminished significantly over the course of the past month. I initially reported this issue on 5th October, but the follow-up on 10th October indicated that the problem remained unresolved. I seek clarification on when normal service levels will be restored as it is impacting my communications.",Medium,Low,Poor Network Coverage,Polite but firm,"Young professional, tech-savvy, impatient",Second attempt — raised once before with no resolution
2153,"I’d like to raise concerns regarding my recent complaint, submitted on 15th October concerning various service-related issues. Having been a loyal customer for over a decade, it is troubling that my previous communications seem to have been inadequately handled. I am requesting a review of both my original complaint and your handling process moving forward.",Medium,Low,Unfulfilled Fix Promises,Casual conversational,Long-term loyal customer (10+ years),Second attempt — raised once before with no resolution
2154,"I was assured that my service setup would be completed on 10th October, yet it remains incomplete as of now. During my contact with your support team on 5th October, I was repeatedly promised updates that have yet to materialize. I require a thorough investigation into this matter so that my service can be fully operational soon.",Medium,Low,Poor Complaint Handling,Verbose and detailed,Long-term loyal customer (10+ years),First contact — raising the issue for the first time
2155,"On 1st November, I received confirmation of an incorrect plan being set up for my account due to a sales agent's error. I had requested a different package during the conversation on 28th October, yet this did not reflect in the finalisation. I would appreciate a correction to my account settings and an assurance that this will not occur in future transactions.",Medium,Low,Wrong Sale Due to Agent Mistake,Casual conversational,"Young professional, tech-savvy, impatient",First contact — raising the issue for the first time
2156,"I have noticed a recurring charge of £9.99 on my account that I do not recognize. I raised this issue previously on October 11th, but it remains unresolved. I would appreciate clarity regarding this charge as soon as possible.",Medium,Low,Fraud & Scams,Casual conversational,"Elderly customer, not confident with technology",Second attempt — raised once before with no resolution
2157,"I switched from another provider last month, and I have contacted your team multiple times regarding discrepancies in my first bill. The total amount charged was £15 more than expected, and I would like a thorough review of this issue to ensure proper billing.",Medium,Low,Overcharging & Incorrect Billing,Legalistic / rights-aware,Recently switched from another provider,Repeat complainer — has contacted 3-5 times over weeks
2158,"As a student, I am concerned about the increase in my monthly charge despite being in the middle of my contract. I have not previously raised this, but I would like to confirm whether this increase aligns with the terms I agreed upon initially.",Medium,Low,Mid-Contract Price Increase,Legalistic / rights-aware,Student on a tight budget,First contact — raising the issue for the first time
2159,I am currently managing a family plan and have contacted customer service several times regarding the early termination fees. The amount suggested is not aligned with my understanding of the contract terms. I would like to have this situation clarified shortly.,Medium,Low,High Early Termination Fees,Formal professional,Parent managing a family plan,Repeat complainer — has contacted 3-5 times over weeks
2160,"Upon reviewing my latest bill, I identified several charges that I believe should not be applied. This is my first contact regarding this issue, but I require further details on these charges and potentially a correction to my bill.",Medium,Low,Hidden Fees & Charges,Narrative / storytelling,Parent managing a family plan,First contact — raising the issue for the first time
2161,"I have recently observed that my loyalty as a long-term customer of 5 years is not being reflected in my current pricing. This is my first attempt to discuss this matter, and I would appreciate any assistance in rectifying this situation.",Medium,Low,Loyalty Penalty,Casual conversational,"Young professional, tech-savvy, impatient",First contact — raising the issue for the first time
2162,I have not received any updates on the progress of my service issue despite contacting support on October 1st. I believe a review of my case by a manager or ombudsman is necessary to facilitate a timely resolution.,Medium,Low,Lack of Progress Updates,Terse and minimal,Parent managing a family plan,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
2163,"I discovered an auto-renewal for my account that was processed without my explicit consent. After attempting to address this issue through standard customer service channels, I am requesting a review by a senior representative.",Medium,Low,Auto-Renewal Without Consent,Terse and minimal,"Young professional, tech-savvy, impatient","Escalation — has exhausted normal channels, requesting manager/ombudsman"
2164,"My handset continues to malfunction despite multiple reports to your support team. I would like the details of my previous contacts, which I can provide upon request, to be taken into consideration for immediate resolution.",Medium,Low,Faulty Hardware / Handset Issues,Verbose and detailed,Vulnerable customer with disability or health condition,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
2165,"There has been a fraudulent transaction linked to my account that I reported last week. I am a loyal customer of over 10 years and would like to see this matter resolved efficiently, as I have brought it up several times already.",Medium,Low,Fraud & Scams,Polite but firm,Long-term loyal customer (10+ years),Repeat complainer — has contacted 3-5 times over weeks
2166,"I am still waiting for a follow-up regarding the case I submitted on September 30th about my account status. This is my second attempt to inquire about this, and I require confirmation of any progress made on inspections or adjustments.",Medium,Low,Lack of Progress Updates,Casual conversational,Student on a tight budget,Second attempt — raised once before with no resolution
2167,"I found the chatbot support system ineffective for resolving my queries regarding my family's plan. After several attempts at automated assistance, I would like to escalate my concerns to a more capable representative.",Medium,Low,Ineffective AI / Chatbot Support,Legalistic / rights-aware,Parent managing a family plan,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
2168,"I contacted support regarding excessively long waiting times for calls. This issue was noted again on September 25th, and I would appreciate further investigation into improving the service response time.",Medium,Low,Long Call-Waiting Times,Terse and minimal,Long-term loyal customer (10+ years),Second attempt — raised once before with no resolution
2169,"The sales representative made an error in processing my services after I switched providers. This is my first communication regarding the issue, and I look forward to a resolution that aligns with what was promised during the sale.",Medium,Low,Wrong Sale Due to Agent Mistake,Polite but firm,Recently switched from another provider,First contact — raising the issue for the first time
2170,"I am attempting to cancel my service but am encountering difficulties with the process. This is my first contact about this issue, and I would appreciate guidance on how to complete the cancellation smoothly.",Medium,Low,Difficulty Cancelling Service,Terse and minimal,Vulnerable customer with disability or health condition,First contact — raising the issue for the first time
2171,"Despite having contacted customer service four times regarding my unresolved installation issue, there has been no update or resolution. I switched from another provider to find my service still not functioning as promised. I would appreciate immediate attention to this matter.",Medium,Low,Unfulfilled Fix Promises,Terse and minimal,Recently switched from another provider,Repeat complainer — has contacted 3-5 times over weeks
2172,"I noticed an error on my recent bill dated October 10, 2023, which included an unexpected charge of £25. I have repeatedly reached out about this, including calls on October 12 and 15. Each time, I was advised it would be sorted out, but no adjustments have been made yet. I am now requesting to escalate this to a manager or the ombudsman as necessary.",Medium,Low,Overcharging & Incorrect Billing,Verbose and detailed,Recently switched from another provider,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
2173,"On October 1, I received notification of a price increase, despite being midway through my contract. Having raised this issue previously on October 3 with staff member Jude, who could not provide a satisfactory answer, I feel it is essential to highlight the discrepancy as I was not informed about this potential increase when signing up.",Medium,Low,Mid-Contract Price Increase,Narrative / storytelling,"Young professional, tech-savvy, impatient",Second attempt — raised once before with no resolution
2174,"I believe there has been a significant error regarding my account setup due to an agent's mistake during the purchase process. I initially brought this to your attention on October 5 and received assurance it would be reviewed, yet no further support has been provided to rectify the situation. I require a resolution soon.",Medium,Low,Wrong Sale Due to Agent Mistake,Legalistic / rights-aware,Recently switched from another provider,Second attempt — raised once before with no resolution
2175,"I attempted to cancel my service in a timely manner after a change in my needs on October 10, 2023. I contacted your support line on that day and spoke with Karen, who indicated necessary steps would be taken. However, I have yet to receive confirmation. I would appreciate clear guidance on the cancellation process.",Medium,Low,Difficulty Cancelling Service,Formal professional,Vulnerable customer with disability or health condition,Second attempt — raised once before with no resolution
2176,"After switching to your service, I faced an unexpected termination fee of £150 for cancelling my previous provider. I have contacted support three times over the last month, hoping for clarification on this fee, with no satisfactory explanation provided. Please advise on how I can resolve or contest this issue.",Medium,Low,High Early Termination Fees,Formal professional,Recently switched from another provider,Repeat complainer — has contacted 3-5 times over weeks
2177,I have been a customer for over ten years and have noticed additional charges on my latest bill that I do not recognize. I reached out twice in the past week to address this but was informed that the charges would be reviewed. I require clarification on the nature of these charges soon.,Medium,Low,Hidden Fees & Charges,Polite but firm,Long-term loyal customer (10+ years),Repeat complainer — has contacted 3-5 times over weeks
2178,"I am attempting to cancel a family plan but have found the process unclear and not straightforward. I initially contacted customer service on October 11 and spoke with Mark, but my issue remains unresolved. I would like confirmation that my cancellation request is being processed.",Medium,Low,Difficulty Cancelling Service,Terse and minimal,Parent managing a family plan,Second attempt — raised once before with no resolution
2179,"After raising a concern regarding an early termination fee of £200 for a service I believed I could cancel at no cost, I've contacted support multiple times in the past month. Each time I provide my previous correspondence for reference, yet the matter remains unresolved. I seek a definitive conclusion.",Medium,Low,High Early Termination Fees,Narrative / storytelling,Parent managing a family plan,Repeat complainer — has contacted 3-5 times over weeks
2180,"There appears to be a mistake regarding the package I was sold, which has led to features not working as expected. I raised this issue via your customer support on October 8 and have yet to receive appropriate follow-up to correct the sale discrepancies. I would like updates on this.",Medium,Low,Wrong Sale Due to Agent Mistake,Verbose and detailed,"Young professional, tech-savvy, impatient",Second attempt — raised once before with no resolution
2181,"Given the nature of my business, the service disruption caused by an agent's mistake in my account setup has impacted my operations significantly. I initially contacted support for resolution on October 1 but have not received a follow-up. It is essential for my business that this error be rectified soon.",Medium,Low,Wrong Sale Due to Agent Mistake,Formal professional,Small business owner relying on service for livelihood,Second attempt — raised once before with no resolution
2182,"I am a student managing a very tight budget and have recently noticed extra fees on my account. I wish to raise this issue for the first time, as it affects my financial planning. Could you please clarify the fees I have incurred?",Medium,Low,Hidden Fees & Charges,Polite but firm,Student on a tight budget,First contact — raising the issue for the first time
2183,"As a long-standing customer, I am concerned about the implications of the upcoming 3G shutdown on my current plan. I raised this previously on October 9 but was not provided any concrete alternatives or information for my continued service. I would appreciate a prompt reply to clarify this.",Medium,Low,3G Shutdown Impact,Polite but firm,Long-term loyal customer (10+ years),Second attempt — raised once before with no resolution
2184,"Despite having contacted customer service previously regarding the unfulfilled repair promises since my switch on October 1, I continue to experience issues with my connection. This will be my second attempt to address this with you, and I require an expedited resolution.",Medium,Low,Unfulfilled Fix Promises,Terse and minimal,Vulnerable customer with disability or health condition,Second attempt — raised once before with no resolution
2185,I believe my account has been compromised as I recently received suspicious activity alerts. I would like to know the necessary steps to secure my account as I contact you for the first time regarding this issue. Please advise on how to proceed.,Medium,Low,Fraud & Scams,Casual conversational,"Young professional, tech-savvy, impatient",First contact — raising the issue for the first time
2186,I attempted to use the AI support system this morning and it did not provide the necessary assistance regarding my account queries. This is my first time reaching out about this issue.,Medium,Low,Ineffective AI / Chatbot Support,Terse and minimal,"Elderly customer, not confident with technology",First contact — raising the issue for the first time
2187,"I am writing to bring attention to poor handling of my recent complaint regarding my bill, which seems incorrect. This is my first contact regarding this matter, and I expect a proper response.",Medium,Low,Poor Complaint Handling,Polite but firm,Student on a tight budget,First contact — raising the issue for the first time
2188,"As a student who has been loyal to your service for a few years, I recently noticed an increase in my monthly charges despite my loyalty. I have raised this matter previously and am now seeking a resolution from a manager or an ombudsman, as my previous attempts on September 15th and 22nd have not been effective.",Medium,Low,Loyalty Penalty,Narrative / storytelling,Student on a tight budget,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
2189,"I contacted your support team on September 17th regarding my faulty handset, which has been malfunctioning and impacting my business operations. This is my second attempt to resolve the situation; previously, I spoke with Alex who offered no viable solutions.",Medium,Low,Faulty Hardware / Handset Issues,Verbose and detailed,Small business owner relying on service for livelihood,Second attempt — raised once before with no resolution
2190,"Upon checking my broadband speed, I found it consistently below the advertised rate of 100 Mbps, measuring only 45 Mbps during peak times. This is my first contact concerning this issue and I seek clarification as it appears to be in breach of service obligations.",Medium,Low,Slow Broadband Speeds,Legalistic / rights-aware,"Young professional, tech-savvy, impatient",First contact — raising the issue for the first time
2191,"I have tried to cancel my family plan for the past two weeks without success. I have spoken with customer support twice, most recently on September 20th, and still have not received any confirmation or assistance on how to proceed.",Medium,Low,Difficulty Cancelling Service,Verbose and detailed,Parent managing a family plan,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
2192,"I recently discovered an unexpected auto-renewal charge on my account, which occurred without my consent. This is my second inquiry into this matter, having already contacted your support team on September 18th without a satisfactory outcome.",Medium,Low,Auto-Renewal Without Consent,Verbose and detailed,Vulnerable customer with disability or health condition,Second attempt — raised once before with no resolution
2193,"Having recently switched to your network, I have experienced considerable issues with network coverage, particularly in my area where the signal is weak or non-existent. I am escalating this complaint after previously addressing it on multiple occasions with no resolution.",Medium,Low,Poor Network Coverage,Narrative / storytelling,Recently switched from another provider,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
2194,"I have reached out three times since September 12th regarding poor network coverage that persists at my new address. Each attempt yielded no change or helpful feedback, hence I am formally documenting this issue again.",Medium,Low,Poor Network Coverage,Verbose and detailed,Student on a tight budget,Repeat complainer — has contacted 3-5 times over weeks
2195,I find that the coverage in my area is inadequate for my needs. This is my first attempt to contact you about the problem. I would like to understand what options are available given the situation.,Medium,Low,Poor Network Coverage,Legalistic / rights-aware,"Elderly customer, not confident with technology",First contact — raising the issue for the first time
2196,"I am noticing a slowdown in my broadband speeds since switching providers two weeks ago. I have previously contacted support, and I am seeking a resolution or explanation as to why performance has degraded.",Medium,Low,Slow Broadband Speeds,Casual conversational,Recently switched from another provider,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
2197,I would like to report that my experience with poor network coverage has been ongoing since I switched providers. I am contacting you for the first time concerning this issue and request further assistance.,Medium,Low,Poor Network Coverage,Terse and minimal,Recently switched from another provider,First contact — raising the issue for the first time
2198,"I was billed for services after I cancelled my account on August 30th, which I find contradictory to my understanding of your policy. I have previously contacted support to clarify, and am now escalating my query to seek resolution.",Medium,Low,Billing After Cancellation,Legalistic / rights-aware,Parent managing a family plan,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
2199,I have reached out once before about the loyalty penalty applied to my account but did not receive a satisfactory response. I would like this matter escalated as it is essential that my situation be reviewed thoroughly.,Medium,Low,Loyalty Penalty,Legalistic / rights-aware,Vulnerable customer with disability or health condition,Second attempt — raised once before with no resolution
2200,"I received a notification of a price increase effective immediately in my ongoing contract, which I find concerning. I have contacted support multiple times over the last month regarding various issues and would like a clear explanation of this change.",Medium,Low,Mid-Contract Price Increase,Terse and minimal,Recently switched from another provider,Repeat complainer — has contacted 3-5 times over weeks
2201,"I have recently discovered a penalty charge related to my long-standing loyalty with your service. During a recent review of my account on September 15, I noted an additional charge appearing on my bill that does not align with any recent agreement or promotional offer. Due to my fragile health condition, I rely heavily on consistent service and financial predictability. This inconsistency requires clarification and, if necessary, adjustment to prevent further impact on my financial stability.",Medium,Low,Loyalty Penalty,Verbose and detailed,Vulnerable customer with disability or health condition,First contact — raising the issue for the first time
